HLA,group_label,training_data,n_reps,mean,std
B0801,PT H 30L,2255.2999999999997,3,0.40036854125997207,0.08840341923987935
B1501,Non-PT H 0L,757.6,3,0.22604931300583472,0.04883946989635821
B1501,Non-PT H 0L,2272.7999999999997,3,0.2064746847355543,0.16390628325508882
B1501,Non-PT H 0L,3030.4,3,0.2023338979860719,0.08077758224608138
B1501,Non-PT H 30L,2272.7999999999997,3,0.6100131752305666,0.029325724379540504
B1501,PT E 0L,757.6,4,0.2896668548842462,0.12882334951294153
B1501,PT E 0L,1515.2,3,0.3954451345755694,0.07233140604739817
B1501,PT E 0L,2272.7999999999997,4,0.42038396386222476,0.05603733944173055
B1501,PT E 30L,757.6,3,0.6363636363636364,0.03445769915842432
B1501,PT E 30L,1515.2,4,0.650479954827781,0.08538276354118597
B1501,PT E 30L,3030.4,3,0.5878035008469792,0.09713996622485771
B1501,PT H 0L,757.6,4,0.1459627329192546,0.07406140529459428
B1501,PT H 0L,1515.2,3,0.24750611707133444,0.011368092505583622
B1501,PT H 0L,2272.7999999999997,4,0.30942970073404863,0.042098512872278566
B1501,PT H 30L,757.6,3,0.1413514022209674,0.05954699743039514
B1501,PT H 30L,2272.7999999999997,3,0.5366083192170149,0.14773773201167426
B1801,Non-PT H 0L,2040.6,3,0.3076923076923077,0.05724022917393319
B1801,Non-PT H 30L,429.6,3,0.5571095571095572,0.06109716746890986
B1801,PT E 0L,429.6,3,0.14452214452214454,0.35522364711622556
B1801,PT E 0L,859.2,4,0.1433566433566434,0.31119535887928335
B1801,PT E 0L,1288.8,3,0.18181818181818185,0.2349691974323279
B1801,PT E 30L,1288.8,3,0.6363636363636364,0.08064729087182375
B1801,PT E 30L,2040.6,3,0.7156177156177157,0.07177064950275354
B1801,PT H 0L,429.6,3,-0.28438228438228447,0.07702895870330215
B1801,PT H 0L,859.2,4,0.0611888111888112,0.15609450549335463
B3801,Non-PT H 0L,59.6,3,-0.0652535099620579,0.3682667758963791
B3801,Non-PT H 30L,29.8,3,0.3393182518027011,0.4103890120912452
B3801,Non-PT H 30L,59.6,3,-0.04271138833880154,0.5188378973802715
B3801,Non-PT H 30L,141.54999999999998,3,0.4911809658962176,0.31773448697941775
B3801,PT E 0L,29.8,3,0.03321996870795672,0.41526825229093167
B3801,PT E 0L,89.39999999999999,3,0.4994859580732067,0.29694598784738413
B3801,PT E 30L,29.8,4,0.4262240627976236,0.1422637338439802
B3801,PT E 30L,59.6,4,0.23580245645380016,0.35511311695512837
B3801,PT E 30L,89.39999999999999,3,0.3974531970416253,0.17995801078516957
B3801,PT E 30L,119.2,3,0.6050780014663549,0.10964669576399973
B3801,PT H 0L,29.8,3,0.18626911025532888,0.24991975334506275
B3801,PT H 0L,59.6,3,0.2206755064171412,0.23347915639096825
B3801,PT H 0L,89.39999999999999,3,0.0605078001466355,0.20287909460930725
B3801,PT H 30L,29.8,3,0.0023728549077111707,0.08603848867254879
B3801,PT H 30L,59.6,3,-0.1138970355701374,0.24383032611118904
B3801,PT H 30L,89.39999999999999,3,-0.038574489468068206,0.0135718240060836
B3801,PT H 30L,141.54999999999998,3,0.1613541337243613,0.07937545478422131
B3901,Non-PT H 0L,1273.95,3,0.11538461538461532,0.07142857142857144
B3901,PT E 30L,268.2,4,-0.02472527472527472,0.19141603858327286
B3901,PT E 30L,536.4,3,0.3278388278388278,0.07796262510546798
B3901,PT H 0L,268.2,4,-0.24725274725274723,0.20198069248534486
B3901,PT H 0L,536.4,3,-0.16849816849816845,0.09679274917013785
B3901,PT H 0L,804.6,4,-0.26098901098901095,0.13327243708590766
B3901,PT H 30L,804.6,3,0.20879120879120874,0.4140612094641913
B3906,Non-PT H 0L,13.200000000000001,3,0.0788629815295713,0.17549212330740058
B3906,Non-PT H 0L,19.8,3,0.10270527827106953,0.2924562035334119
B3906,Non-PT H 30L,6.6000000000000005,3,0.06143976468001481,0.3060991789160352
B3906,Non-PT H 30L,13.200000000000001,3,-0.03668045652538199,0.5005773717650047
B3906,Non-PT H 30L,19.8,3,-0.03209539945970923,0.1835237464175884
B3906,PT H 0L,13.200000000000001,3,-0.06143976468001483,0.23017351809970205
